KEY,English,Deutsch,Portugues
HullSmallBlocks,Steel Blocks S,Stahlblöcke S,Bloco de ferro
HullThinSmallBlocks,Steel Blocks S (thin),Stahlblöcke S (dünn)
HullFullSmall,Steel Block S,Stahlblock S
HullThinSmall,Steel Block S,Stahlblock S
HullArmoredSmallBlocks,Hardened Steel Blocks S,Gehärtete Stahlblöcke S
HullArmoredThinSmallBlocks,Hardened Steel Blocks S (thin),Gehärtete Stahlblöcke S (dünn)
HullArmoredFullSmall,Hardened Steel Block S,Gehärteter Stahlblock S
HullArmoredThinSmall,Hardened Steel Block S,Gehärteter Stahlblock S
HullLargeBlocks,Steel Blocks L ,Stahlblöcke L 
HullThinLargeBlocks,Steel Blocks L (thin),Stahlblöcke L (dünn)
HullFullLarge,Steel Block L,Stahlblock L
HullThinLarge,Steel Block L,Stahlblock L
HullArmoredLargeBlocks,Hardened Steel Blocks L ,Gehärtete Stahlblöcke L 
HullArmoredThinLargeBlocks,Hardened Steel Blocks L (thin),Gehärtete Stahlblöcke L (dünn)
HullArmoredFullLarge,Hardened Steel Block L,Gehärteter Stahlblock L
HullArmoredThinLarge,Hardened Steel Block L,Gehärteter Stahlblock L
HullCombatLargeBlocks,Combat Steel Blocks L ,Gefechts-Stahlblöcke L 
HullCombatThinLargeBlocks,Combat Steel Blocks L (thin),Gefechts-Stahlblöcke L (dünn)
HullCombatFullLarge,Combat Steel Block L,Gefechts-Stahlblock L
HullCombatThinLarge,Combat Steel Block L,Gefechts-Stahlblock L
WoodBlocks,Wood Blocks ,Holzblöcke 
WoodThinBlocks,Wood Blocks (thin),Holzblöcke (dünn)
WoodFull,Wood Block,Holzblock
WoodThin,Wood Block,Holzblock
ConcreteBlocks,Concrete Blocks ,Betonblöcke 
ConcreteThinBlocks,Concrete Blocks (thin),Betonblöcke (dünn)
ConcreteFull,Concrete Block,Betonblock
ConcreteThin,Concrete Block,Betonblock
HullFull,Steel Block,Stahlblock
HullThin,Steel Block,Stahlblock
HullArmoredFull,Hardened Steel Block,Gehärteter Stahlblock
HullArmoredThin,Hardened Steel Block,Gehärteter Stahlblock
Artificialmass,Artificial Mass,Künstliche Masse
ArtMassBlocks,Artificial Mass Blocks,Künstliche Masse Blöcke
ArtMassLight,Artificial Mass (Light),Künstliche Masse (leicht)
ArtMassMedium,Artificial Mass (Medium),Künstliche Masse (mittel)
ArtMassHeavy,Artificial Mass (Heavy),Künstliche Masse (schwer)
AlienBlocks,Alien Blocks ,Alienblöcke 
AlienThinBlocks,Alien Blocks (thin),Alienblöcke (dünn)
AlienFull,Alien Block,Alienblock
AlienThin,Alien Block,Alienblock
WingBlocks,Wing Blocks,Flügelblöcke
Wing6x9a,Wing A (6x9),Flügel A (6x9)
Wing6x9b,Wing B (6x9),Flügel B (6x9)
Wing6x9c,Wing C (6x9),Flügel C (6x9)
Wing6x9d,Wing D (6x9),Flügel D (6x9)
Wing6x9e,Wing E (6x9),Flügel E (6x9)
Wing6x5a,Wing A (6x5),Flügel A (6x5)
Wing6x5b,Wing B (6x5),Flügel B (6x5)
Wing6x5c,Wing C (6x5),Flügel C (6x5)
Wing6x5d,Wing D (6x5),Flügel D (6x5)
Wing6x5e,Wing E (6x5),Flügel E (6x5)
Wing9x6a,Wing A (9x6),Flügel A (9x6)
Wing9x6b,Wing B (9x6),Flügel B (9x6)
Wing9x6c,Wing C (9x6),Flügel C (9x6)
Wing9x6d,Wing D (9x6),Flügel D (9x6)
Wing9x6e,Wing E (9x6),Flügel E (9x6)
Wing12x9a,Wing A (12x9),Flügel A (12x9)
Wing12x9b,Wing B (12x9),Flügel B (12x9)
Wing12x9c,Wing C (12x9),Flügel C (12x9)
Wing12x9d,Wing D (12x9),Flügel D (12x9)
Wing12x9e,Wing E (12x9),Flügel E (12x9)
Hull,Hull Cube (Grey),Rumpfblock (grau)
HullWedge,Hull Slope (Grey),Rumpfblock schräg (grau)
HullCorner,Hull Corner (Grey),Rumpfblock Ecke (grau)
HullWedgeInverse,Hull Inv (Grey),Rumpfblock innere Ecke (grau)
HullQuarterRound,Hull Quarter Round,Rumpfblock rund
HullHalfRound,Hull Half Round,Rumpfblock Ecke rund
HullCurveOutSlope,Hull Curve Out Slope,Rumpfblock Ecke schräg
HullCurveQuarter,Hull Curve Quarter,Rumpfblock Ecke abgerundet
HullBlue,Hull Block (Blue),Rumpfblock (blau)
HullBlueWedge,Hull Slope (Blue),Rumpfblock schräg (blau)
HullBlueCorner,Hull Corner (Blue),Rumpfblock Ecke (blau)
HullBlueWedgeInverse,Hull Inv (Blue),Rumpfblock innere Ecke (blau)
HullRed,Hull Block (Red),Rumpfblock (rot)
HullRedWedge,Hull Slope (Red),Rumpfblock schräg (rot)
HullRedCorner,Hull Corner (Red),Rumpfblock Ecke (rot)
HullRedWedgeInverse,Hull Inv (Red),Rumpfblock innere Ecke (rot)
HullYellow,Hull Block (Yellow),Rumpfblock (gelb)
HullYellowWedge,Hull Slope (Yellow),Rumpfblock schräg (gelb)
HullYellowCorner,Hull Corner (Yellow),Rumpfblock Ecke (gelb)
HullYellowWedgeInverse,Hull Inv (Yellow),Rumpfblock innere Ecke (gelb)
HullWhite,Hull Block (White),Rumpfblock (weiß)
HullWhiteWedge,Hull Slope (White),Rumpfblock schräg (weiß)
HullWhiteCorner,Hull Corner (White),Rumpfblock Ecke (weiß)
HullWhiteWedgeInverse,Hull Inv (White),Rumpfblock innere Ecke (weiß)
HullGreen,Hull Block (Green),Rumpfblock (grün)
HullGreenWedge,Hull Slope (Green),Rumpfblock schräg (grün)
HullGreenCorner,Hull Corner (Green),Rumpfblock Ecke (grün)
HullGreenWedgeInverse,Hull Inv (Green),Rumpfblock innere Ecke (grün)
