"String Identifier","English (United States)","Chinese Simplified",French,German,"Portuguese (Brazil)",Spanish,"String Description"
KEY,English,,,Deutsch,,,
HullSmallBlocks,"Steel Blocks S",小型钢块（提醒：所有好心更新翻译的小伙伴从最后的一页翻译新内容，不要修改旧内容，谢谢配合）,"Petit blocs d'acier","Stahlblöcke S","Bloco de Aço S","Bloques de acero P",
HullThinSmallBlocks,"Steel Blocks S (thin)",小型钢块（薄）,"Petit blocs d'acier (Mince)","Stahlblöcke S (dünn)","Bloco de Aço P (fino)","Bloques de acero P (delgados)",
HullFullSmall,"Steel Block S",小型钢块,"Petit bloc d'acier","Stahlblock S","Bloco de ferro S","Bloque de acero S",
HullThinSmall,"Steel Block S",小型钢块,"Petit bloc d'acier","Stahlblock S","Bloco de Aço P","Bloque de acero P",
HullArmoredSmallBlocks,"Hardened Steel Blocks S",小型高硬钢块,"Petit blocs d'acier trempé","Gehärtete Stahlblöcke S","Bloco de ferro Rígido S","Bloques de acero endurecidos P",
HullArmoredThinSmallBlocks,"Hardened Steel Blocks S (thin)",小型高硬钢块（薄）,"Petit blocs d'acier trempé (Mince)","Gehärtete Stahlblöcke S (dünn)","Bloco de Aço Resistente P (fino)","Bloques de acero endurecidos P (delgados)",
HullArmoredFullSmall,"Hardened Steel Block S",小型高硬钢块,"Petit bloc d'acier trempé","Gehärteter Stahlblock S","Bloco de Aço Resistente P","Bloque de acero endurecido S",
HullArmoredThinSmall,"Hardened Steel Block S",小型高硬钢块,"Petit bloc d'acier trempé","Gehärteter Stahlblock S","Bloco de Aço Resistente P","Bloque de acero endurecido P",
HullLargeBlocks,"Steel Blocks L ",大型钢块,"Grand bloc d'acier","Stahlblöcke L ","Bloco de Aço G","Bloques de acero G ",
HullThinLargeBlocks,"Steel Blocks L (thin)",大型钢块（薄）,"Grand bloc d'acier mince","Stahlblöcke L (dünn)",,"Bloques de acero G (delgados)",
HullFullLarge,"Steel Block L",大型钢块,"Grand bloc d'acier","Stahlblock L","Bloco de Ferro G","Bloque de acero L",
HullThinLarge,"Steel Block L",大型钢块,"Grand bloc d'acier","Stahlblock L","Bloco de Ferro G","Bloque de acero G",
HullArmoredLargeBlocks,"Hardened Steel Blocks L ",大型高硬钢块,"Grand bloc d'acier trempé","Gehärtete Stahlblöcke L ","Bloco de Aço Resistente G ","Bloques de acero endurecido G ",
HullArmoredThinLargeBlocks,"Hardened Steel Blocks L (thin)",大型高硬钢块（薄）,"Grand bloc d'acier trempé mince","Gehärtete Stahlblöcke L (dünn)","Bloco de Aço Resistente G (fino)","Bloques de acero endurecido G (delgados)",
HullArmoredFullLarge,"Hardened Steel Block L",大型高硬钢块,"Grand bloc d'acier trempé","Gehärteter Stahlblock L",,"Bloque de acero endurecido L",
