term,translation,
HullSmallBlocks,"Steel Blocks S",
HullThinSmallBlocks,"Steel Blocks S (thin)",
HullFullSmall,"Steel Block S",
HullThinSmall,"Steel Block S",
HullArmoredSmallBlocks,"Hardened Steel Blocks S",
HullArmoredThinSmallBlocks,"Hardened Steel Blocks S (thin)",
HullArmoredFullSmall,"Hardened Steel Block S",
HullArmoredThinSmall,"Hardened Steel Block S",
HullLargeBlocks,"Steel Blocks L ",
HullThinLargeBlocks,"Steel Blocks L (thin)",
HullFullLarge,"Steel Block L",
HullThinLarge,"Steel Block L",
HullArmoredLargeBlocks,"Hardened Steel Blocks L ",
HullArmoredThinLargeBlocks,"Hardened Steel Blocks L (thin)",
HullArmoredFullLarge,"Hardened Steel Block L",
HullArmoredThinLarge,"Hardened Steel Block L",
HullCombatLargeBlocks,"Combat Steel Blocks L ",
HullCombatThinLargeBlocks,"Combat Steel Blocks L (thin)",
HullCombatFullLarge,"Combat Steel Block L",
HullCombatThinLarge,"Combat Steel Block L",
WoodBlocks,"Wood Blocks ",
WoodThinBlocks,"Wood Blocks (thin)",
WoodFull,"Wood Block",
WoodThin,"Wood Block",
ConcreteBlocks,"Concrete Blocks ",
ConcreteThinBlocks,"Concrete Blocks (thin)",
ConcreteFull,"Concrete Block",
ConcreteThin,"Concrete Block",
HullFull,"Steel Block",
HullThin,"Steel Block",
HullArmoredFull,"Hardened Steel Block",
HullArmoredThin,"Hardened Steel Block",
Artificialmass,"Artificial Mass",
ArtMassBlocks,"Artificial Mass Blocks",
ArtMassLight,"Artificial Mass (Light)",
ArtMassMedium,"Artificial Mass (Medium)",
ArtMassHeavy,"Artificial Mass (Heavy)",
AlienBlocks,"Alien Blocks ",
AlienThinBlocks,"Alien Blocks (thin)",
AlienFull,"Alien Block",
AlienThin,"Alien Block",
WingBlocks,"Wing Blocks",
Wing6x9a,"Wing A (6x9)",
Wing6x9b,"Wing B (6x9)",
Wing6x9c,"Wing C (6x9)",
Wing6x9d,"Wing D (6x9)",
Wing6x9e,"Wing E (6x9)",
Wing6x5a,"Wing A (6x5)",
Wing6x5b,"Wing B (6x5)",
Wing6x5c,"Wing C (6x5)",
Wing6x5d,"Wing D (6x5)",
Wing6x5e,"Wing E (6x5)",
Wing9x6a,"Wing A (9x6)",
Wing9x6b,"Wing B (9x6)",
Wing9x6c,"Wing C (9x6)",
Wing9x6d,"Wing D (9x6)",
Wing9x6e,"Wing E (9x6)",
Wing12x9a,"Wing A (12x9)",
Wing12x9b,"Wing B (12x9)",
Wing12x9c,"Wing C (12x9)",
Wing12x9d,"Wing D (12x9)",
Wing12x9e,"Wing E (12x9)",
Hull,"Hull Cube (Grey)",
HullWedge,"Hull Slope (Grey)",
HullCorner,"Hull Corner (Grey)",
HullWedgeInverse,"Hull Inv (Grey)",
HullQuarterRound,"Hull Quarter Round",
HullHalfRound,"Hull Half Round",
HullCurveOutSlope,"Hull Curve Out Slope",
HullCurveQuarter,"Hull Curve Quarter",
HullBlue,"Hull Block (Blue)",
HullBlueWedge,"Hull Slope (Blue)",
HullBlueCorner,"Hull Corner (Blue)",
HullBlueWedgeInverse,"Hull Inv (Blue)",
HullRed,"Hull Block (Red)",
HullRedWedge,"Hull Slope (Red)",
HullRedCorner,"Hull Corner (Red)",
HullRedWedgeInverse,"Hull Inv (Red)",
HullYellow,"Hull Block (Yellow)",
HullYellowWedge,"Hull Slope (Yellow)",
HullYellowCorner,"Hull Corner (Yellow)",
HullYellowWedgeInverse,"Hull Inv (Yellow)",
HullWhite,"Hull Block (White)",
HullWhiteWedge,"Hull Slope (White)",
HullWhiteCorner,"Hull Corner (White)",
HullWhiteWedgeInverse,"Hull Inv (White)",
HullGreen,"Hull Block (Green)",
HullGreenWedge,"Hull Slope (Green)",
HullGreenCorner,"Hull Corner (Green)",
HullGreenWedgeInverse,"Hull Inv (Green)",
HullBlack,"Hull Block (Black)",
HullBlackWedge,"Hull Slope (Black)",
HullBlackCorner,"Hull Corner (Black)",
HullBlackWedgeInverse,"Hull Inv (Black)",
HullWall,"Hull Wall",
HullBlueWall,"Hull Wall (Blue)",
HullRedWall,"Hull Wall (Red)",
HullYellowWall,"Hull Wall (Yellow)",
HullWhiteWall,"Hull Wall (White)",
HullGreenWall,"Hull Wall (Green)",
HullBlackWall,"Hull Wall (Black)",
HullWallCorner,"Hull Wall Corner",
HullBlueWallCorner,"Hull Wall Corner (Blue)",
HullRedWallCorner,"Hull Wall Corner (Red)",
HullYellowWallCorner,"Hull Wall Corner(Yellow)",
HullWhiteWallCorner,"Hull Wall Corner (White)",
HullGreenWallCorner,"Hull Wall Corner (Green)",
HullBlackWallCorner,"Hull Wall Corner (Black)",
HullCornerLarge,"Hull Corner Large",
HullBlueCornerLarge,"Hull Blue Corner Large",
HullRedCornerLarge,"Hull Red Corner Large",
HullYellowCornerLarge,"Hull Yellow Corner Large",
HullWhiteCornerLarge,"Hull White Corner Large",
HullGreenCornerLarge,"Hull Green Corner Large",
HullBlackCornerLarge,"Hull Black Corner Large",
HullRampTop,"Hull Slope 1x2 Top",
HullRampBottom,"Hull Slope 1x2 Bottom",
HullInvertedCornerRound,"Hull Corner Round Inv",
HullInvertedCornerRoundThin,"Hull Corner Round Inv Thin",
HullQuarterRoundThin,"Hull Quarter Round Thin",
HullWedgeThin,"Hull SlopeThin",
HullCornerLongA,"Hull Corner Long A",
HullCornerLongB,"Hull Corner Long B",
HullCornerLongC,"Hull Corner Long C",
HullCornerLongD,"Hull Corner Long D",
HullQuarterRoundInv,"Hull Quarter Round Inv",
HullCurveOutSlopeInv,"Hull Curve Out Slope Inv",
HullHalfRoundInv,"Hull Half Round Inv",
HullCornerThin,"Hull Corner Thin",
HullCornerRoundThin,"Hull Corner Round Thin",
Interiorlight,"Illuminated Block",
InteriorlightBlue,"Illuminated Block (Blue)",
InteriorlightRed,"Illuminated Block (Red)",
InteriorlightYellow,"Illuminated Block (Yellow)",
InteriorlightGreen,"Illuminated Block (Green)",
InteriorBlock,"Interior Block",
InteriorBlock01,"Interior Block 1",
InteriorBlock02,"Interior Block 2",
InteriorBlock03,"Interior Block 3",
InteriorBlock04,"Interior Block 4",
InteriorBlock05,"Interior Block 5",
InteriorBlock06,"Interior Block 6",
AlienInteriorGreen01,"Alien Block (Green)",
AlienInteriorGreenWedge01,"Alien Slope (Green)",
AlienInteriorGreen02,"Alien Block 2 (Green)",
StairsBlocks,"Stairs Blocks",
StairsMS,"Stairs Freestanding",
StairsWedge,"Stairs Wedge",
StairsWedgeLong,"Stairs Wedge Long",
WalkwayBlocks,"Walkway & Railing Blocks",
WalkwayVert,Walkway,
WalkwayVert02,"Walkway 2",
WalkwaySlope,"Walkway Slope",
RailingVert,Railing,
RailingSlope,"Railing Slope",
RailingL,"Railing L-Shape",
RailingRound,"Railing Round",
RailingVertGlass,"Glass Railing",
RailingLGlass,"Glass Railing L-Shape",
RailingRoundGlass,"Glass Railing Round",
RailingVertGlassInv,"Glass Railing",
RailingLGlassInv,"Glass Railing L-Shape",
RailingRoundGlassInv,"Glass Railing Round",
InteriorWall,"Interior Wall",
InteriorWallCorner,"Interior Wall Corner",
GrowingPot,"Growing Plot",
Cube,Cube,
InvertedCorner,"Cut Corner",
CornerLongA,"Corner Long A",
CornerLongB,"Corner Long B",
CornerLongC,"Corner Long C",
CornerLongD,"Corner Long D",
CornerLarge,"Corner Large A",
Corner,Corner,
RampTop,"Ramp Top",
RampBottom,"Ramp Bottom",
Wedge,Slope,
CurveOutSlope,"Curved Corner",
InvertedCornerRound,"Round Cut Corner",
HalfRound,"Round Corner",
CurveQuarter,"Round Corner Long",
QuarterRound,"Round Slope",
Cylinder,Cylinder,
HalfRoundInv,"Inward Corner",
